=== GL 226-001 non-BTB entries (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|K|D|NET
13081002P019P|08/22/2013 00:00:00|00184|0.000000|750000.000000|-750000.000000
13081002P030P|08/26/2013 00:00:00|19181|0.000000|20000.000000|-20000.000000
13081002P044P|08/30/2013 00:00:00|HAS/INV-03/7/13|0.000000|1662500.000000|-1662500.000000
13081002P043P|08/30/2013 00:00:00|0000303|0.000000|2175000.000000|-2175000.000000
13111002P041P|11/29/2013 00:00:00||0.000000|70000.000000|-70000.000000
1011312DP009|12/11/2013 00:00:00|10006933|0.000000|34360400.000000|-34360400.000000
13121002P035P|12/27/2013 00:00:00|0000418|0.000000|1450000.000000|-1450000.000000
1011312NK0050|12/31/2013 00:00:00|1011312NK0050|42000000.000000|0.000000|42000000.000000
101PD131200021|12/31/2013 00:00:00|101PD131200021|65000000.000000|0.000000|65000000.000000
101PD131200016|12/31/2013 00:00:00|101PD131200016|509700.000000|0.000000|509700.000000
101PD131200026|12/31/2013 00:00:00|101PD131200026|19800000.000000|0.000000|19800000.000000
101PD131200031|12/31/2013 00:00:00|101PD131200031|11820000.000000|0.000000|11820000.000000
1011312NK0054|12/31/2013 00:00:00|1011312NK0054|2908500.000000|0.000000|2908500.000000
101PD131200002|12/31/2013 00:00:00|101PD131200002|17889003.000000|0.000000|17889003.000000
101PD131200037|12/31/2013 00:00:00|101PD131200037|27500000.000000|0.000000|27500000.000000
101PD131200042|12/31/2013 00:00:00|101PD131200042|2400000.000000|0.000000|2400000.000000
101PD131200050|12/31/2013 00:00:00|101PD131200050|42000000.000000|0.000000|42000000.000000
1011312NK0014|12/31/2013 00:00:00|1011312NK0014|3573.000000|0.000000|3573.000000
101PD131200027|12/31/2013 00:00:00|101PD131200027|741600000.000000|0.000000|741600000.000000
1011312NK0011|12/31/2013 00:00:00|1011312NK0011|740000.000000|0.000000|740000.000000
1011312NK0033|12/31/2013 00:00:00|1011312NK0033|2351.000000|0.000000|2351.000000
1011312NK0015|12/31/2013 00:00:00|1011312NK0015|10746427.000000|0.000000|10746427.000000
1011312NK0004|12/31/2013 00:00:00|1011312NK0004|25630000.000000|0.000000|25630000.000000
101PD131200028|12/31/2013 00:00:00|101PD131200028|741600000.000000|0.000000|741600000.000000
1011312NK0032|12/31/2013 00:00:00|1011312NK0032|317355649.000000|0.000000|317355649.000000
101PD131200024|12/31/2013 00:00:00|101PD131200024|2653500.000000|0.000000|2653500.000000
1011312NK0010|12/31/2013 00:00:00|1011312NK0010|2653500.000000|0.000000|2653500.000000
101PD131200052|12/31/2013 00:00:00|101PD131200052|644700.000000|0.000000|644700.000000
1011312NK0003|12/31/2013 00:00:00|1011312NK0003|2400000.000000|0.000000|2400000.000000
101PD131200060|12/31/2013 00:00:00|101PD131200060|5400000.000000|0.000000|5400000.000000
1011312NK0006|12/31/2013 00:00:00|1011312NK0006|509700.000000|0.000000|509700.000000
101PD131200014|12/31/2013 00:00:00|101PD131200014|2496000.000000|0.000000|2496000.000000
101PD131200045|12/31/2013 00:00:00|101PD131200045|13663755.000000|0.000000|13663755.000000
1011312NK0021|12/31/2013 00:00:00|1011312NK0021|95000000.000000|0.000000|95000000.000000
101PD131200051|12/31/2013 00:00:00|101PD131200051|8487360.000000|0.000000|8487360.000000
1011312NK0016|12/31/2013 00:00:00|1011312NK0016|67356000.000000|0.000000|67356000.000000
101PD131200053|12/31/2013 00:00:00|101PD131200053|2908500.000000|0.000000|2908500.000000
1011312NK0007|12/31/2013 00:00:00|1011312NK0007|1970000.000000|0.000000|1970000.000000
101PD131200048|12/31/2013 00:00:00|101PD131200048|13663755.000000|0.000000|13663755.000000
101PD131200035|12/31/2013 00:00:00|101PD131200035|2202960.000000|0.000000|2202960.000000
101PD131200036|12/31/2013 00:00:00|101PD131200036|95000000.000000|0.000000|95000000.000000
101PD131200041|12/31/2013 00:00:00|101PD131200041|2203500.000000|0.000000|2203500.000000
1011312NK0035|12/31/2013 00:00:00|1011312NK0035|407356902.000000|0.000000|407356902.000000
101PD131200001|12/31/2013 00:00:00|101PD131200001|1949205.000000|0.000000|1949205.000000
1011312NK0052|12/31/2013 00:00:00|1011312NK0052|8487360.000000|0.000000|8487360.000000
101PD131200033|12/31/2013 00:00:00|101PD131200033|10989600.000000|0.000000|10989600.000000
1011312NK0002|12/31/2013 00:00:00|1011312NK0002|2203500.000000|0.000000|2203500.000000
101PD131200018|12/31/2013 00:00:00|101PD131200018|95000000.000000|0.000000|95000000.000000
1011312NK0020|12/31/2013 00:00:00|1011312NK0020|27500000.000000|0.000000|27500000.000000
1011312NK0030|12/31/2013 00:00:00|1011312NK0030|650500000.000000|0.000000|650500000.000000
101PD131200044|12/31/2013 00:00:00|101PD131200044|119100000.000000|0.000000|119100000.000000
1011312NK0012|12/31/2013 00:00:00|1011312NK0012|119100000.000000|0.000000|119100000.000000
101PD131200039|12/31/2013 00:00:00|101PD131200039|13455000.000000|0.000000|13455000.000000
1011312NK0009|12/31/2013 00:00:00|1011312NK0009|19700000.000000|0.000000|19700000.000000
1011312NK0053|12/31/2013 00:00:00|1011312NK0053|644700.000000|0.000000|644700.000000
1011312NK0040|12/31/2013 00:00:00|1011312NK0040|741600000.000000|0.000000|741600000.000000
101PD131200032|12/31/2013 00:00:00|101PD131200032|19700000.000000|0.000000|19700000.000000
101PD131200040|12/31/2013 00:00:00|101PD131200040|12304323.600000|0.000000|12304323.600000
1011312NK0051|12/31/2013 00:00:00|1011312NK0051|4063500.000000|0.000000|4063500.000000
101PD131200034|12/31/2013 00:00:00|101PD131200034|15744000.000000|0.000000|15744000.000000
101PD131200015|12/31/2013 00:00:00|101PD131200015|25630000.000000|0.000000|25630000.000000
101PD131200029|12/31/2013 00:00:00|101PD131200029|39450000.000000|0.000000|39450000.000000
101PD131200004|12/31/2013 00:00:00|101PD131200004|317355649.200000|0.000000|317355649.200000
101PD131200054|12/31/2013 00:00:00|101PD131200054|6616260.000000|0.000000|6616260.000000
101PD131200049|12/31/2013 00:00:00|101PD131200049|4063500.000000|0.000000|4063500.000000
1011312NK0031|12/31/2013 00:00:00|1011312NK0031|95000000.000000|0.000000|95000000.000000
1011312NK0001|12/31/2013 00:00:00|1011312NK0001|12304324.000000|0.000000|12304324.000000
1011312NK0036|12/31/2013 00:00:00|1011312NK0036|1949205.000000|0.000000|1949205.000000
101PD131200019|12/31/2013 00:00:00|101PD131200019|95000000.000000|0.000000|95000000.000000
101PD131200030|12/31/2013 00:00:00|101PD131200030|3138000.000000|0.000000|3138000.000000
1011312NK0017|12/31/2013 00:00:00|1011312NK0017|2496000.000000|0.000000|2496000.000000
101PD131200017|12/31/2013 00:00:00|101PD131200017|1970000.000000|0.000000|1970000.000000
1011312NK0055|12/31/2013 00:00:00|1011312NK0055|6616260.000000|0.000000|6616260.000000
101PD131200043|12/31/2013 00:00:00|101PD131200043|740000.000000|0.000000|740000.000000
1011312NK0034|12/31/2013 00:00:00|1011312NK0034|9819488.000000|0.000000|9819488.000000
101PD131200003|12/31/2013 00:00:00|101PD131200003|650500000.000000|0.000000|650500000.000000
101PD131200013|12/31/2013 00:00:00|101PD131200013|67356000.000000|0.000000|67356000.000000
101PD131200022|12/31/2013 00:00:00|101PD131200022|95000000.000000|0.000000|95000000.000000
1011312NK0018|12/31/2013 00:00:00|1011312NK0018|3138000.000000|0.000000|3138000.000000
1011312NK0008|12/31/2013 00:00:00|1011312NK0008|11820000.000000|0.000000|11820000.000000
1011312NK0013|12/31/2013 00:00:00|1011312NK0013|462910.000000|0.000000|462910.000000
101PD131200025|12/31/2013 00:00:00|101PD131200025|3930000.000000|0.000000|3930000.000000
101PD131200023|12/31/2013 00:00:00|101PD131200023|95000000.000000|0.000000|95000000.000000
1011312NK0005|12/31/2013 00:00:00|1011312NK0005|19800000.000000|0.000000|19800000.000000
1011312NK0059|12/31/2013 00:00:00|1011312NK0059|27500000.000000|0.000000|27500000.000000
1011312NK0045|12/31/2013 00:00:00|1011312NK0045|2202960.000000|0.000000|2202960.000000
1011312NK0042|12/31/2013 00:00:00|1011312NK0042|39450000.000000|0.000000|39450000.000000
101PD131200059|12/31/2013 00:00:00|101PD131200059|27500000.000000|0.000000|27500000.000000
1011312NK0023|12/31/2013 00:00:00|1011312NK0023|95000000.000000|0.000000|95000000.000000
1011312NK0048|12/31/2013 00:00:00|1011312NK0048|5400000.000000|0.000000|5400000.000000
1011312NK0028|12/31/2013 00:00:00|1011312NK0028|2400.000000|0.000000|2400.000000
1011312NK0019|12/31/2013 00:00:00|1011312NK0019|27500000.000000|0.000000|27500000.000000
1011312NK0025|12/31/2013 00:00:00|1011312NK0025|3930000.000000|0.000000|3930000.000000
101PD131200010|12/31/2013 00:00:00|101PD131200010|567800.000000|0.000000|567800.000000
1011312NK0022|12/31/2013 00:00:00|1011312NK0022|95000000.000000|0.000000|95000000.000000
101PD131200007|12/31/2013 00:00:00|101PD131200007|407356902.000000|0.000000|407356902.000000
1011312NK0049|12/31/2013 00:00:00|1011312NK0049|13663755.000000|0.000000|13663755.000000
1011312NK0024|12/31/2013 00:00:00|1011312NK0024|65000000.000000|0.000000|65000000.000000
1011312NK0039|12/31/2013 00:00:00|1011312NK0039|567800.000000|0.000000|567800.000000
1011312NK0058|12/31/2013 00:00:00|1011312NK0058|21000000.000000|0.000000|21000000.000000
1011312NK0056|12/31/2013 00:00:00|1011312NK0056|16149000.000000|0.000000|16149000.000000
101PD131200057|12/31/2013 00:00:00|101PD131200057|21000000.000000|0.000000|21000000.000000
101PD131200055|12/31/2013 00:00:00|101PD131200055|16149000.000000|0.000000|16149000.000000
101PD131200009|12/31/2013 00:00:00|101PD131200009|4550000.000000|0.000000|4550000.000000
101PK131200006|12/31/2013 00:00:00|101PK131200006|0.000000|5400000.000000|-5400000.000000
101PD131200062|12/31/2013 00:00:00|101PD131200062|219283370.000000|0.000000|219283370.000000
1011312NK0037|12/31/2013 00:00:00|1011312NK0037|17889003.000000|0.000000|17889003.000000
101PD131200063|12/31/2013 00:00:00|101PD131200063|957000000.000000|0.000000|957000000.000000
1011312NK0047|12/31/2013 00:00:00|1011312NK0047|5400000.000000|0.000000|5400000.000000
101PD131200058|12/31/2013 00:00:00|101PD131200058|27500000.000000|0.000000|27500000.000000
101PD131200020|12/31/2013 00:00:00|101PD131200020|95000000.000000|0.000000|95000000.000000
1011312NK0044|12/31/2013 00:00:00|1011312NK0044|15744000.000000|0.000000|15744000.000000
101PD131200061|12/31/2013 00:00:00|101PD131200061|516282630.000000|0.000000|516282630.000000
1011312NK0046|12/31/2013 00:00:00|1011312NK0046|13663755.000000|0.000000|13663755.000000
1011312NK0041|12/31/2013 00:00:00|1011312NK0041|741600000.000000|0.000000|741600000.000000
1011312NK0029|12/31/2013 00:00:00|1011312NK0029|13455000.000000|0.000000|13455000.000000
101PK131200007|12/31/2013 00:00:00|101PK131200007|0.000000|3573.000000|-3573.000000
1011312NK0038|12/31/2013 00:00:00|1011312NK0038|4550000.000000|0.000000|4550000.000000
1011312NK0043|12/31/2013 00:00:00|1011312NK0043|10989600.000000|0.000000|10989600.000000
101PD131200056|12/31/2013 00:00:00|101PD131200056|21000000.000000|0.000000|21000000.000000
1011312NK0027|12/31/2013 00:00:00|1011312NK0027|95000000.000000|0.000000|95000000.000000
101PD131200006|12/31/2013 00:00:00|101PD131200006|9819487.500000|0.000000|9819487.500000
1011312NK0057|12/31/2013 00:00:00|1011312NK0057|21000000.000000|0.000000|21000000.000000
1011312NK0026|12/31/2013 00:00:00|1011312NK0026|95000000.000000|0.000000|95000000.000000
1011402DP014|02/18/2014 00:00:00|10172 -|0.000000|1937500.000000|-1937500.000000
14031002P029P|03/18/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|740000.000000|-740000.000000
14031002P029P|03/18/2014 00:00:00|1814|0.000000|740000.000000|-740000.000000
14041002P005P|04/01/2014 00:00:00|0000411|0.000000|2175000.000000|-2175000.000000
14041002P003P|04/01/2014 00:00:00|0000012|0.000000|1450000.000000|-1450000.000000
14041002P004P|04/01/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|435000.000000|-435000.000000
14041002P003P|04/01/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|1450000.000000|-1450000.000000
14041002P005P|04/01/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|2175000.000000|-2175000.000000
14041002P004P|04/01/2014 00:00:00|01036|0.000000|435000.000000|-435000.000000
1011404DP012|04/24/2014 00:00:00|10178 -|0.000000|104423200.000000|-104423200.000000
14061002P004P|06/04/2014 00:00:00|Hutang Dagang - Spare Parts - STICKER|0.000000|350000.000000|-350000.000000
14061002P004P|06/04/2014 00:00:00||0.000000|350000.000000|-350000.000000
14061002P026P|06/17/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|270000.000000|-270000.000000
14061002P026P|06/17/2014 00:00:00|01339|0.000000|270000.000000|-270000.000000
14081002P011P|08/08/2014 00:00:00|01471|0.000000|150000.000000|-150000.000000
14081002P008P|08/08/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|2550000.000000|-2550000.000000
14081002P008P|08/08/2014 00:00:00|0000703|0.000000|2550000.000000|-2550000.000000
14081002P011P|08/08/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|150000.000000|-150000.000000
1011408DP002|08/14/2014 00:00:00|Bayar Hutang dari DP 14072003P011 (30006015)|0.000000|907200000.000000|-907200000.000000
14081002P049P|08/26/2014 00:00:00|01552|0.000000|450000.000000|-450000.000000
14081002P049P|08/26/2014 00:00:00|Hutang Dagang - Spare Parts|0.000000|450000.000000|-450000.000000
1011409DP009|09/11/2014 00:00:00|Bayar Hutang dari DP 14082003P021 (30006088)|0.000000|945000000.000000|-945000000.000000
1011409DP005|09/13/2014 00:00:00|Bayar Hutang dari DP 14082003P021 (30006085)|0.000000|875000000.000000|-875000000.000000
1011409DP006|09/26/2014 00:00:00|Bayar Hutang dari DP 14092003P002 (30006138)|0.000000|945000000.000000|-945000000.000000
1011409DP008|09/26/2014 00:00:00|Bayar Hutang dari DP 14092003P001 (30006137)|0.000000|945000000.000000|-945000000.000000
1011409DP004|09/29/2014 00:00:00|107/04/2014|0.000000|7040000.000000|-7040000.000000
1011409DP004|09/29/2014 00:00:00|112/04/2014|0.000000|7700000.000000|-7700000.000000
1011410DP001|10/15/2014 00:00:00|Bayar Hutang dari DP 14102102P002 (30006169)|0.000000|937440000.000000|-937440000.000000
1011410DP004|10/17/2014 00:00:00|Bayar Hutang dari DP 14092102P004 (30006170)|0.000000|937440000.000000|-937440000.000000
1011410DP002|10/20/2014 00:00:00|GR294015, PR.705-100714|0.000000|28520000.000000|-28520000.000000
1011411DP003|11/13/2014 00:00:00|INV Y14101501, GW.706-210814|0.000000|59644000.000000|-59644000.000000
1011411DP004|11/19/2014 00:00:00|Bayar Hutang dari DP 14112102P001 (30006273)|0.000000|937440000.000000|-937440000.000000
101PD150100001|01/01/2015 00:00:00|101PD150100001|0.000000|66196830.000000|-66196830.000000
1011501MEMO0028|01/01/2015 00:00:00|Hutang Dagang - AJP 2014 AP Ekspedisi|249443429.000000|0.000000|249443429.000000
100310115010025|01/06/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.04422 06/01/15|0.000000|650000.000000|-650000.000000
200410115010032|01/09/2015 00:00:00| - (ST01) - samudra teknik |0.000000|2100000.000000|-2100000.000000
100310115010047|01/10/2015 00:00:00| - (004) - NUGROHO TEKNIK INV.004 10/01/15|0.000000|2075000.020000|-2075000.020000
100310115010047|01/10/2015 00:00:00|Hutang Dagang - NUGROHO TEKNIK INV.005 15/05/15|0.000000|425000.000000|-425000.000000
100310115010064|01/14/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.04477 14/01/15|0.000000|650000.000000|-650000.000000
100310115010071|01/15/2015 00:00:00|Hutang Dagang - NUGROHO TEKNIK INV.005 15/01/15|0.000000|1490000.000000|-1490000.000000
100310115010092|01/20/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.04514 19/01/15|0.000000|1300000.000000|-1300000.000000
200410115010098|01/28/2015 00:00:00|MULIA JAYA - (3691)  Hutang Dagang |0.000000|2137500.000000|-2137500.000000
200410115010057|01/28/2015 00:00:00|Hutang Dagang |0.000000|11350000.000000|-11350000.000000
200410115010098|01/28/2015 00:00:00| MULIA JAYA- (3653)  Hutang Dagang |0.000000|4061250.000000|-4061250.000000
200410115010094|01/28/2015 00:00:00|Hutang Dagang |0.000000|5903250.880000|-5903250.880000
200410115010098|01/28/2015 00:00:00|MULIA JAYA (3693) - (3693) |0.000000|1750000.000000|-1750000.000000
200410115010098|01/28/2015 00:00:00| MULIA JAYA- (3676)  Hutang Dagang |0.000000|1140000.000000|-1140000.000000
100310115010136|01/30/2015 00:00:00|Hutang Dagang - ALAM JAYA INV.0052 20/01/16|0.000000|330000.000000|-330000.000000
200410115020090|02/05/2015 00:00:00|CBC01 CONNEL BERSAUDARA CHEMINDO   - (CBC01)  Hutang Dagang |0.000000|6500000.210000|-6500000.210000
100310115020034|02/05/2015 00:00:00|Hutang Dagang -  - (NT06)  NUGROHO TEKNIK 05/02/15|0.000000|2130000.000000|-2130000.000000
200410115020030|02/11/2015 00:00:00| - (17716) -ARTHA MERSINDO |0.000000|2405600.560000|-2405600.560000
100310115020077|02/14/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.4684 14/02/15|0.000000|650000.000000|-650000.000000
100310115020079|02/16/2015 00:00:00| - (100) - NUGROHO TEKNIK INV.100 16/02/15|0.000000|1250000.000000|-1250000.000000
100310115020080|02/16/2015 00:00:00| - (101) - NUGROHO TEKNIK 16/02/15|0.000000|2130000.000000|-2130000.000000
210510115020010|02/17/2015 00:00:00|TK.041-300914, INV 20140417-CTG - (20140417-CTG) |0.000000|7871024.000000|-7871024.000000
200410115020094|02/18/2015 00:00:00|MULIA JAYA - (3737)  Hutang Dagang |0.000000|6410000.020000|-6410000.020000
200410115020094|02/18/2015 00:00:00|MULIA JAYA - (3707)  Hutang Dagang |0.000000|1708000.560000|-1708000.560000
200410115020094|02/18/2015 00:00:00|PERDONI (084) - (084)  Hutang Dagang |0.000000|8801408.000000|-8801408.000000
200410115020094|02/18/2015 00:00:00| MULIA JAYA- (3704)  Hutang Dagang |0.000000|5302925.100000|-5302925.100000
200410115020094|02/18/2015 00:00:00|MULIA JAYA - (3731)  Hutang Dagang |0.000000|9150000.000000|-9150000.000000
200410115020094|02/18/2015 00:00:00| MULIA JAYA- (3736)  Hutang Dagang |0.000000|1718000.000000|-1718000.000000
100310115020112|02/21/2015 00:00:00| - (102) - NUGROHO TEKNIK INV.102. 21/02/15|0.000000|2150000.000000|-2150000.000000
100310115020118|02/23/2015 00:00:00| - (4801) - BKS MOTOR INV.4801 23/02/15|0.000000|1300000.000000|-1300000.000000
200410115020061|02/24/2015 00:00:00|Hutang Dagang - INTI NEPEL INV.703|0.000000|2337500.000000|-2337500.000000
200410115020056|02/24/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3756|0.000000|4330000.000000|-4330000.000000
200410115020056|02/24/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3748|0.000000|1920000.000000|-1920000.000000
100310115020140|02/24/2015 00:00:00|DRIVE PULLY GRAND MAX 1 GOT A 122, PULLY ALTERNATOR PTO IVECO 2 GOT  B 80 - (103) |0.000000|1575000.000000|-1575000.000000
200410115020056|02/24/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3749|0.000000|8047000.000000|-8047000.000000
200410115020056|02/24/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3750|0.000000|1735000.000000|-1735000.000000
100310115020122|02/24/2015 00:00:00| - (104) - NUGROHO TEKNIK INV.104 23/02/15|0.000000|1975000.000000|-1975000.000000
200410115020059|02/25/2015 00:00:00|Hutang Dagang - SAMUDRA TEKNIK INV.055|0.000000|6000000.000000|-6000000.000000
200410115020060|02/25/2015 00:00:00|Hutang Dagang - TK.KEMENANGAN INV.K03|0.000000|2385000.000000|-2385000.000000
200410115020060|02/25/2015 00:00:00|Hutang Dagang - TK.KEMENANGAN INV.K02|0.000000|7260000.000000|-7260000.000000
100310115020141|02/27/2015 00:00:00|BRAKET L.300 10 SET - (109) |0.000000|725000.000000|-725000.000000
100310115020138|02/27/2015 00:00:00|SWITCH ON OFF 2 KAKI - (RM002) |0.000000|45000.000000|-45000.000000
100310115020148|02/27/2015 00:00:00| - (105) - NUGROH TEKNIK 28/02/15|0.000000|3100000.000000|-3100000.000000
200410115030052|03/02/2015 00:00:00|Hutang Dagang - LESTRAI MESENERY INV.004|0.000000|3450000.000000|-3450000.000000
100310115030006|03/02/2015 00:00:00| - (106) - NUGROHO TEKNIK 02/03/15|0.000000|2350000.000000|-2350000.000000
200410115030053|03/02/2015 00:00:00|Hutang Dagang - KUSUMA INV.11685|0.000000|2062500.000000|-2062500.000000
100310115030007|03/02/2015 00:00:00| - (107) - NUGROHO TEKNIK 02/03/15|0.000000|1550000.000000|-1550000.000000
100310115030025|03/04/2015 00:00:00| - (4777) - BKS MOTOR 04/03/15|0.000000|650000.000000|-650000.000000
210410115030007|03/04/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3767|0.000000|520000.000000|-520000.000000
210410115030007|03/04/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3773|0.000000|2671200.000000|-2671200.000000
210410115030007|03/04/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3774|0.000000|14809324.940000|-14809324.940000
210410115030007|03/04/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3744|0.000000|4700000.000000|-4700000.000000
210410115030007|03/04/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3743|0.000000|3685000.000000|-3685000.000000
100310115030029|03/05/2015 00:00:00| - (108) - NUGROHO TEKNIK 05/03/15|0.000000|3135000.000000|-3135000.000000
200410115030062|03/06/2015 00:00:00|GW.703-180214, INV 4050402 - (4050402) |0.000000|23280000.000000|-23280000.000000
100310115030041|03/07/2015 00:00:00| - (NT01) |0.000000|2925000.000000|-2925000.000000
100310115030055|03/10/2015 00:00:00| - (NT06) |0.000000|1790000.000000|-1790000.000000
200410115030030|03/11/2015 00:00:00|Hutang Dagang - MULIA JAYA 03791|0.000000|4200000.000000|-4200000.000000
200410115030030|03/11/2015 00:00:00|Hutang Dagang - MULIA JAYA 3783|0.000000|12072750.180000|-12072750.180000
200410115030030|03/11/2015 00:00:00|Hutang Dagang - MULIA JAYA 03790|0.000000|6313000.000000|-6313000.000000
200410115030030|03/11/2015 00:00:00|Hutang Dagang - MULIA JAYA 3782|0.000000|12550000.000000|-12550000.000000
100310115030067|03/12/2015 00:00:00| - (BM04) |0.000000|1300000.000000|-1300000.000000
200410115030033|03/12/2015 00:00:00|Hutang Dagang - TK.KEMENANGAN K04|0.000000|11915000.400000|-11915000.400000
200410115030036|03/13/2015 00:00:00|Hutang Dagang - INTI NEPEL 764|0.000000|3052500.000000|-3052500.000000
200410115030036|03/13/2015 00:00:00|Hutang Dagang - INTI NEPEL IN03|0.000000|852500.000000|-852500.000000
200410115030036|03/13/2015 00:00:00|Hutang Dagang - INTI NEPEL 761|0.000000|2387000.000000|-2387000.000000
100310115030078|03/13/2015 00:00:00| - (AOS01) |0.000000|320000.000000|-320000.000000
200410115030038|03/13/2015 00:00:00|Hutang Dagang - ALAM JAYA 085|0.000000|2464000.000000|-2464000.000000
100310115030103|03/20/2015 00:00:00| - (NT=05) |0.000000|2200000.000000|-2200000.000000
100310115030122|03/25/2015 00:00:00| - (NT06) |0.000000|3470000.000000|-3470000.000000
100310115030119|03/25/2015 00:00:00| - (NT05) |0.000000|3500000.000000|-3500000.000000
1011503DP003|03/30/2015 00:00:00|10018975|0.000000|22950000.000000|-22950000.000000
210510115030007|03/31/2015 00:00:00|TK.002-130115, INV. 1311069303, NO. 03, 04 - (1311|0.000000|64422540.000000|-64422540.000000
200410115040046|04/02/2015 00:00:00|OXYGEN, NITROGEN, AXETYLINE - (09741) |0.000000|1275000.000000|-1275000.000000
100310115040019|04/06/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.BM05 31/03/15|0.000000|650000.000000|-650000.000000
100310115040030|04/06/2015 00:00:00|Hutang Dagang - NUGROHO TEKNIK INV.37 28/3/15|0.000000|3805000.000000|-3805000.000000
1011504DP001|04/06/2015 00:00:00|Bayar Hutang dari DP 15022102P003 (TES/10018974)|0.000000|64967840.000000|-64967840.000000
100310115040033|04/06/2015 00:00:00|Hutang Dagang - BKS MOTOR INV.0051 06/04/15|0.000000|650000.000000|-650000.000000
100310115040050|04/08/2015 00:00:00|Hutang Dagang - NUGROHO TEKNIK INV.002 04/04/15|0.000000|2200000.000000|-2200000.000000
200410115040017|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.03589(03859)|0.000000|14599750.000000|-14599750.000000
200410115040016|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3873|0.000000|1525000.000000|-1525000.000000
200410115040015|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.03823|0.000000|24800000.000000|-24800000.000000
200410115040015|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.03834|0.000000|4445000.000000|-4445000.000000
200410115040016|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3883|0.000000|865000.000000|-865000.000000
200410115040015|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.03826|0.000000|4800000.000000|-4800000.000000
200410115040016|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3882|0.000000|6847500.000000|-6847500.000000
200410115040016|04/13/2015 00:00:00|Hutang Dagang - MULIA JAYA INV.3877|0.000000|6325000.000000|-6325000.000000
